127.0.0.1 - - [29/Dec/2019:16:29:36 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [29/Dec/2019:16:29:43 +0900] "GET /controller/ HTTP/1.1" 200 1487
0:0:0:0:0:0:0:1 - - [29/Dec/2019:16:29:44 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [29/Dec/2019:16:29:57 +0900] "GET /controller/member/loginForm HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [29/Dec/2019:16:30:40 +0900] "GET /controller/ HTTP/1.1" 200 1487
0:0:0:0:0:0:0:1 - - [29/Dec/2019:16:30:44 +0900] "GET /controller/member/joinForm HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [29/Dec/2019:16:31:09 +0900] "POST /controller/member/join HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [29/Dec/2019:16:31:14 +0900] "GET /controller/ HTTP/1.1" 200 1487
0:0:0:0:0:0:0:1 - - [29/Dec/2019:16:31:17 +0900] "GET /controller/member/loginForm HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [29/Dec/2019:16:31:20 +0900] "GET /controller/ HTTP/1.1" 200 1487
0:0:0:0:0:0:0:1 - - [29/Dec/2019:16:31:22 +0900] "GET /controller/member/joinForm HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [29/Dec/2019:16:31:47 +0900] "POST /controller/member/join HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [29/Dec/2019:16:31:52 +0900] "GET /controller/ HTTP/1.1" 200 1487
0:0:0:0:0:0:0:1 - - [29/Dec/2019:16:31:54 +0900] "GET /controller/member/loginForm HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [29/Dec/2019:16:32:02 +0900] "POST /controller/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2019:16:32:02 +0900] "GET /controller/ HTTP/1.1" 200 1744
0:0:0:0:0:0:0:1 - - [29/Dec/2019:16:32:09 +0900] "GET /controller/member/main HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [29/Dec/2019:16:32:12 +0900] "GET /controller/ HTTP/1.1" 200 1744
