127.0.0.1 - - [06/Jan/2020:20:35:37 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [06/Jan/2020:20:36:58 +0900] "GET /controller/join HTTP/1.1" 200 17171
0:0:0:0:0:0:0:1 - - [06/Jan/2020:20:36:59 +0900] "GET /controller/resources/css/menuzord-skins/menuzord-rounded-boxed.css HTTP/1.1" 200 2455
0:0:0:0:0:0:0:1 - - [06/Jan/2020:20:36:59 +0900] "GET /controller/resources/js/jquery-2.2.4.min.js HTTP/1.1" 200 85582
0:0:0:0:0:0:0:1 - - [06/Jan/2020:20:36:59 +0900] "GET /controller/resources/css/jquery-ui.min.css HTTP/1.1" 200 29279
0:0:0:0:0:0:0:1 - - [06/Jan/2020:20:36:59 +0900] "GET /controller/resources/css/animate.css HTTP/1.1" 200 88597
0:0:0:0:0:0:0:1 - - [06/Jan/2020:20:36:59 +0900] "GET /controller/resources/css/css-plugin-collections.css HTTP/1.1" 200 256385
0:0:0:0:0:0:0:1 - - [06/Jan/2020:20:36:59 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 121265
0:0:0:0:0:0:0:1 - - [06/Jan/2020:20:36:59 +0900] "GET /controller/resources/css/colors/theme-skin-orange.css HTTP/1.1" 200 28058
0:0:0:0:0:0:0:1 - - [06/Jan/2020:20:36:59 +0900] "GET /controller/resources/js/jquery-ui.min.js HTTP/1.1" 200 240434
0:0:0:0:0:0:0:1 - - [06/Jan/2020:20:36:59 +0900] "GET /controller/resources/css/style-main.css HTTP/1.1" 200 145137
0:0:0:0:0:0:0:1 - - [06/Jan/2020:20:36:59 +0900] "GET /controller/resources/css/responsive.css HTTP/1.1" 200 1192
0:0:0:0:0:0:0:1 - - [06/Jan/2020:20:36:59 +0900] "GET /controller/resources/css/custom-bootstrap-margin-padding.css HTTP/1.1" 200 64599
0:0:0:0:0:0:0:1 - - [06/Jan/2020:20:36:59 +0900] "GET /controller/resources/css/preloader.css HTTP/1.1" 200 63635
